origin_id,destination_id,origin_value,destination_value,distance_m,reward
S001,S002,634732.06,549635.75,10030.35,34781566.604240
S001,S003,634732.06,474926.85,8059.74,37402098.760556
S001,S004,634732.06,455777.26,5337.25,54203241.326782
S001,S005,634732.06,407749.16,3381.84,76529794.381936
S001,S006,634732.06,388392.48,7339.81,33587388.936941
S001,S007,634732.06,325443.30,7558.39,27329792.960315
S001,S008,634732.06,322506.00,4320.45,47380475.239344
S001,S009,634732.06,301965.00,5593.82,34264063.403725
S001,S010,634732.06,300000.00,1410.82,134971202.179797
S001,S011,634732.06,291757.76,8899.26,20809380.349467
S001,S012,634732.06,256253.00,4626.31,35158074.747262
S001,S013,634732.06,255969.52,12191.53,13326637.704929
S001,S014,634732.06,255460.18,4710.76,34420916.295895
S001,S015,634732.06,248397.61,13908.91,11335610.149204
S001,S016,634732.06,238774.51,5438.51,27867524.110963
S001,S017,634732.06,229598.00,1555.55,93685849.243747
S001,S018,634732.06,225003.45,8464.00,16873457.232933
S001,S019,634732.06,220000.00,11648.00,11988417.387519
S001,S020,634732.06,216504.00,3300.25,41639862.137005
S001,S021,634732.06,213704.16,10315.41,13149730.027071
S001,S022,634732.06,210696.11,10671.37,12532182.782569
S001,S023,634732.06,198527.22,7917.98,15914610.853860
S001,S024,634732.06,197250.99,2119.46,59072256.482417
S001,S025,634732.06,159783.00,2489.19,40743889.652570
S001,S026,634732.06,149164.40,10270.41,9218664.583733
S001,S027,634732.06,127590.00,3384.93,23925275.791919
S001,S028,634732.06,123739.00,11403.06,6887721.010183
S001,S029,634732.06,123552.00,11566.66,6780042.558558
S001,S030,634732.06,120000.00,3736.50,20384824.725368
S001,S031,634732.06,120000.00,1805.48,42187028.013819
S001,S032,634732.06,114442.00,7107.61,10220030.961813
S001,S033,634732.06,109914.00,4953.50,14084157.848228
S001,S034,634732.06,106912.00,4885.48,13890247.770244
S001,S035,634732.06,98981.00,6576.38,9553344.287519
S001,S036,634732.06,93904.00,8698.41,6852272.953312
S001,S037,634732.06,93226.00,9438.90,6269114.602907
S001,S038,634732.06,89049.00,12170.17,4644328.273390
S001,S039,634732.06,82028.00,1914.82,27191008.932656
S001,S040,634732.06,76596.00,8130.38,5979789.754343
S001,S041,634732.06,70363.00,12810.81,3486247.680903
S001,S042,634732.06,60000.00,5908.78,6445309.187470
S001,S043,634732.06,60000.00,7901.51,4819829.689600
S001,S044,634732.06,52204.00,10767.05,3077495.504628
S001,S045,634732.06,44256.00,9767.93,2875809.537607
S001,S046,634732.06,41735.00,10895.58,2431310.079523
S001,S047,634732.06,30000.00,4902.12,3884431.441402
S001,S048,634732.06,30000.00,1941.09,9809907.266407
S001,S049,634732.06,30000.00,14941.78,1274410.627481
S001,S050,634732.06,30000.00,12873.33,1479178.984625
S001,S051,634732.06,30000.00,10478.92,1817167.924658
S001,S052,634732.06,30000.00,10569.36,1801619.006084
S001,S053,634732.06,30000.00,12654.98,1504700.770228
S001,S054,634732.06,30000.00,11489.26,1657369.907433
S002,S003,549635.75,474926.85,2804.43,93080219.922244
S002,S004,549635.75,455777.26,12034.52,20816076.362877
S002,S005,549635.75,407749.16,8995.83,24913046.837087
S002,S006,549635.75,388392.48,11446.81,18649252.411740
S002,S007,549635.75,325443.30,7494.68,23866975.820758
S002,S008,549635.75,322506.00,7337.11,24159503.534692
S002,S009,549635.75,301965.00,10053.63,16508547.048952
S002,S010,549635.75,300000.00,11119.15,14829435.247507
S002,S011,549635.75,291757.76,12481.38,12847976.061370
S002,S012,549635.75,256253.00,9563.03,14728153.260039
S002,S013,549635.75,255969.52,14573.88,9653575.170952
S002,S014,549635.75,255460.18,5741.07,24457106.911706
S002,S015,549635.75,248397.61,11212.17,12176789.190399
S002,S016,549635.75,238774.51,5019.06,26148114.414527
S002,S017,549635.75,229598.00,10612.68,11890989.192250
S002,S018,549635.75,225003.45,3234.65,38232910.703130
S002,S019,549635.75,220000.00,13452.24,8988825.512854
S002,S020,549635.75,216504.00,11138.94,10683091.735943
S002,S021,549635.75,213704.16,5439.58,21593458.190135
S002,S022,549635.75,210696.11,14828.58,7809654.835982
S002,S023,549635.75,198527.22,13894.40,7853354.644116
S002,S024,549635.75,197250.99,9272.13,11692694.841658
S002,S025,549635.75,159783.00,10600.01,8285130.755192
S002,S026,549635.75,149164.40,10844.76,7559970.588959
S002,S027,549635.75,127590.00,7226.03,9704921.729352
S002,S028,549635.75,123739.00,10101.34,6732904.661355
S002,S029,549635.75,123552.00,6414.49,10586756.494718
S002,S030,549635.75,120000.00,10648.48,6193963.288576
S002,S031,549635.75,120000.00,8982.45,7342795.789833
S002,S032,549635.75,114442.00,3217.93,19547195.914786
S002,S033,549635.75,109914.00,12777.58,4728022.041836
S002,S034,549635.75,106912.00,6994.58,8401171.751511
S002,S035,549635.75,98981.00,12110.54,4492244.958901
S002,S036,549635.75,93904.00,9571.39,5392426.129165
