type,generation,best_fitness,mean_fitness,global_best,selected_stations,selected_edges,selected_required,length_km,pair_reward,construction_cost,turn_penalty,endpoint_count,endpoint_penalty,max_turn_deg,penalized_turns,connectivity_score,objective_score,objective_reward,reward_per_km
final,100,2150952042.996219,,2150952042.996219,33,32,0,60.411,4171535055.185105,1208211853.770650,212371158.418237,6,600000000.000000,150.019,11,2750952042.996219,2150952042.996219,2150952042.996219,35605544.446256
history,0,642157032.150008,197205518.305974,642157032.150008,,,,,,,,,,,,,,,
history,10,1620870951.378122,1282354461.229104,1620870951.378122,,,,,,,,,,,,,,,
history,20,1852168421.915511,1722167386.775609,1852168421.915511,,,,,,,,,,,,,,,
history,30,2022293611.079268,1884676255.161073,2022293611.079268,,,,,,,,,,,,,,,
history,40,2150252502.712100,1994429984.616152,2150252502.712100,,,,,,,,,,,,,,,
history,50,2150252502.712100,2083586428.445272,2150252502.712100,,,,,,,,,,,,,,,
history,60,2150252502.712100,2102508160.207398,2150252502.712100,,,,,,,,,,,,,,,
history,70,2150952042.996219,2095435716.852592,2150952042.996219,,,,,,,,,,,,,,,
history,80,2150952042.996219,2095591509.382328,2150952042.996219,,,,,,,,,,,,,,,
history,90,2150952042.996219,2003674624.790873,2150952042.996219,,,,,,,,,,,,,,,
history,100,2150952042.996219,2070117122.512586,2150952042.996219,,,,,,,,,,,,,,,
