line_id,order,station_id,line_color,orientation,orientation_angle_deg,line_length_km,directness,max_edge_km,max_turn_deg,median_turn_deg
M1,1,S033,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,2,S030,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,3,S004,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,4,S012,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,5,S009,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,6,S006,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,7,S011,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,8,S051,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,9,S026,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,10,S028,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,11,S053,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M1,12,S015,#e11d48,vertical,65.398,20.526,0.5935,2.481,96.565,39.955
M2,1,S045,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,2,S002,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,3,S043,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,4,S003,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,5,S014,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,6,S008,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,7,S024,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M2,8,S020,#2563eb,vertical,70.334,15.605,0.7347,3.398,49.408,35.281
M3,1,S020,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,2,S017,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,3,S001,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,4,S031,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,5,S005,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,6,S012,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,7,S009,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,8,S036,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,9,S026,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M3,10,S038,#16a34a,horizontal,28.630,16.267,0.9471,3.488,22.735,9.206
M4,1,S010,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,2,S025,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,3,S004,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,4,S023,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,5,S040,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,6,S022,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,7,S013,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M4,8,S019,#f59e0b,horizontal,27.877,14.859,0.7436,2.851,54.446,32.734
M5,1,S050,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,2,S029,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,3,S021,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,4,S018,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,5,S032,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,6,S016,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,7,S047,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,8,S014,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M5,9,S039,#7c3aed,diagonal,50.865,15.375,0.8016,2.873,37.928,8.733
M6,1,S024,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,2,S039,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,3,S048,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,4,S005,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,5,S034,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,6,S007,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,7,S037,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,8,S028,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
M6,9,S041,#0891b2,diagonal,44.230,17.364,0.7846,2.816,45.363,22.848
