keep_edge_quantile,max_selected_edges,min_selected_stations,max_node_degree,leaf_prune_rounds,protected_top_stations,weak_leaf_conductance_quantile,selected_stations,selected_edges,covered_value,total_length_km,max_edge_km,branch_nodes,leaf_nodes,components,max_turn_deg,mean_conductance,horizontal_edges,vertical_edges,diagonal_edges,vertical_edge_share,horizontal_edge_share,metro_like_score,balanced_score,coverage_score,grid_score
0.58,28,28,2,0,14,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,28,28,2,0,18,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,34,28,2,0,14,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,34,28,2,0,18,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,40,28,2,0,14,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,40,28,2,0,18,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,46,28,2,0,14,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.58,46,28,2,0,18,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.63,28,28,2,0,14,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
0.63,28,28,2,0,18,0.3,22,21,6044981.31,40.88401141183786,3.3976493114369943,1,3,1,133.70445953224188,2.511794751572629,9,2,10,0.09523809523809523,0.42857142857142855,139.71694555404278,-47.55715630950885,278.17843792857144,245.29987540000002
