from_station,to_station,length_km,orientation,conductance,flow
S001,S031,1.805,diagonal,5.249998449,0.260180472
S005,S031,1.666,horizontal,4.061084398,0.201568849
S004,S030,1.759,horizontal,3.881910714,0.191179615
S005,S012,1.364,horizontal,3.854248167,0.190982533
S001,S039,1.915,diagonal,3.383400990,0.169733204
S003,S014,3.398,vertical,3.285465531,0.161337389
S008,S014,1.833,diagonal,3.136843719,0.153946482
S016,S034,2.196,diagonal,3.041421156,0.151011557
S009,S012,1.010,horizontal,2.902448222,0.145789996
S006,S009,1.903,horizontal,2.763076676,0.137015573
S007,S034,2.816,diagonal,2.451518659,0.121296709
S016,S042,1.083,horizontal,2.351793368,0.117699270
S025,S030,1.306,horizontal,2.297452656,0.112928767
S001,S010,1.411,diagonal,2.176317846,0.106771637
S002,S003,2.804,diagonal,1.794022071,0.088061914
S008,S039,2.460,diagonal,1.697505837,0.085523038
S006,S011,1.572,horizontal,1.225522929,0.060768205
S007,S036,2.165,horizontal,0.974107743,0.048232346
S004,S035,1.447,diagonal,0.856464610,0.040679076
S010,S025,1.714,diagonal,0.820258296,0.040033727
S027,S048,1.590,diagonal,0.795578449,0.038007877
S005,S027,2.007,diagonal,0.612975780,0.029204334
S011,S036,3.257,vertical,0.542827747,0.027264344
S047,S048,3.049,vertical,0.393360071,0.018137319
S002,S042,4.197,vertical,0.253698530,0.012240473
S021,S037,2.802,diagonal,0.242504086,0.011471683
S007,S037,1.893,diagonal,0.177252477,0.008218984
S032,S045,2.692,vertical,0.024441947,0.001058053
S018,S045,1.585,vertical,0.005612179,0.000231242
S032,S047,2.410,vertical,0.004265895,0.000163507
