line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost
L0001,"['S012', 'S005', 'S027', 'S034']",5074.57172365063,370755.0,0.025439520080223786,5.07457172365063
L0002,"['S001', 'S031', 'S005', 'S012']",4835.570525754642,374313.0,0.008509716614124271,4.835570525754642
L0003,"['S009', 'S012', 'S030', 'S025']",3912.4945860456246,508001.0,0.11857290923287317,3.912494586045624
L0004,"['S012', 'S005', 'S031', 'S001', 'S017']",6391.694736293639,603911.0,0.06666629086482907,6.391694736293639
L0005,"['S009', 'S012', 'S005', 'S027', 'S034']",6085.208904122901,582720.0,0.13781800360052252,6.085208904122902
L0006,"['S001', 'S031', 'S005', 'S012', 'S009']",5846.207706226914,586278.0,0.11467388147166274,5.846207706226913
L0007,"['S008', 'S039', 'S048', 'S027']",5494.702865506699,442124.0,0.024083220559557167,5.494702865506699
L0008,"['S008', 'S039', 'S048', 'S031', 'S005', 'S012']",8128.826869762769,540787.0,0.02287311782649795,8.12882686976277
L0009,"['S009', 'S012', 'S005', 'S031', 'S001', 'S017']",7402.33191676591,815876.0,0.17900008352640706,7.40233191676591
L0010,"['S009', 'S012', 'S005', 'S027']",4381.736154319712,505808.0,0.11378826233435997,4.381736154319713
L0011,"['S008', 'S039', 'S048', 'S031', 'S005', 'S012', 'S009']",9139.464050235041,752752.0,0.1303006134833226,9.139464050235041
L0012,"['S017', 'S001', 'S048', 'S027']",5087.822325765173,505248.0,0.06326162177030237,5.087822325765173
L0013,"['S028', 'S026', 'S036', 'S037']",6089.823585015312,250869.0,0.011981057413334075,6.089823585015312
L0014,"['S009', 'S006', 'S011', 'S051', 'S026', 'S036']",9049.852556036158,346560.0,0.020903713346858283,9.049852556036157
L0015,"['S003', 'S042', 'S014', 'S008']",7431.732337821598,432713.0,0.030790827138468205,7.4317323378215985
L0016,"['S012', 'S005', 'S031', 'S001', 'S020']",8137.21708458771,590817.0,0.028717567311816933,8.137217084587709
L0017,"['S001', 'S010', 'S025', 'S033']",5781.152891713981,387757.0,0.02140309576523461,5.781152891713981
L0018,"['S008', 'S014', 'S042', 'S032']",5584.060780647929,436644.0,0.029867711366315535,5.584060780647929
L0019,"['S009', 'S012', 'S005', 'S031', 'S001', 'S020']",9147.85426505998,802782.0,0.13907934319458953,9.14785426505998
L0020,"['S009', 'S012', 'S005', 'S027', 'S034', 'S007', 'S037']",10794.436824921964,675946.0,0.14840721597423764,10.794436824921965
L0021,"['S017', 'S010', 'S025', 'S033']",6861.1703819899085,439295.0,0.017129471765184666,6.8611703819899095
L0022,"['S008', 'S039', 'S048', 'S031', 'S025']",6897.419072856892,444317.0,0.01999211808847632,6.897419072856892
L0023,"['S020', 'S017', 'S010', 'S025']",5972.481059316826,545885.0,0.06216120231872632,5.972481059316825
L0024,"['S012', 'S005', 'S027', 'S034', 'S007', 'S036']",10055.591969266745,434659.0,0.031190405652939027,10.055591969266745
L0025,"['S020', 'S039', 'S048', 'S027']",6241.4275166337775,396122.0,0.014868817284239114,6.241427516633778
L0026,"['S012', 'S005', 'S027', 'S034', 'S007', 'S037']",9783.799644449693,463981.0,0.03196042593687491,9.783799644449692
L0027,"['S014', 'S039', 'S048', 'S027']",5907.876255583185,269314.0,0.010958213305276989,5.9078762555831865
L0028,"['S008', 'S047', 'S016', 'S034']",6987.124879892122,339418.0,0.003358184468253851,6.987124879892123
L0029,"['S012', 'S005', 'S031', 'S048', 'S039']",5668.667799630656,278281.0,0.0031539738473837743,5.668667799630657
L0030,"['S001', 'S048', 'S027', 'S034']",5235.170865029365,352562.0,0.018021217932516598,5.235170865029366
L0031,"['S009', 'S006', 'S011', 'S051', 'S026', 'S028']",9376.139323955244,376395.0,0.01803446425458778,9.376139323955243
L0032,"['S017', 'S001', 'S048', 'S027', 'S034']",6791.295075568362,582160.0,0.07725629266897542,6.791295075568362
L0033,"['S009', 'S012', 'S005', 'S027', 'S034', 'S007', 'S037', 'S052', 'S029']",14111.110969830097,799498.0,0.16108758306334858,14.111110969830097
L0034,"['S002', 'S043', 'S032', 'S042', 'S014', 'S008']",9317.058469949076,521129.0,0.03690453340112009,9.317058469949076
L0035,"['S012', 'S009', 'S006', 'S040']",4437.08519323783,525505.0,0.13102999030824192,4.43708519323783
L0036,"['S009', 'S012', 'S005', 'S031', 'S048', 'S039']",6679.304980102927,490246.0,0.10503350032052398,6.679304980102928
L0037,"['S020', 'S017', 'S010', 'S025', 'S033']",8628.321657687959,655799.0,0.07483221855389963,8.628321657687959
L0038,"['S008', 'S039', 'S048', 'S031', 'S025', 'S033']",9553.259671228025,554231.0,0.03000345683515863,9.553259671228025
L0039,"['S012', 'S005', 'S031', 'S048', 'S039', 'S014']",8542.000259839257,367977.0,0.00936928341468835,8.542000259839257
L0040,"['S025', 'S031', 'S048', 'S039']",4437.260002724778,181811.0,0.00252470391024023,4.437260002724779
L0041,"['S012', 'S005', 'S027', 'S034', 'S016', 'S032']",9087.910187347947,455197.0,0.03249390838377454,9.087910187347946
L0042,"['S027', 'S034', 'S016', 'S032']",5716.811213500506,258944.0,0.012743652519606278,5.716811213500506
L0043,"['S012', 'S005', 'S027', 'S034', 'S007', 'S037', 'S052', 'S029']",13100.473789357826,587533.0,0.04191788044980651,13.100473789357824
L0044,"['S012', 'S009', 'S006', 'S011', 'S051', 'S026', 'S028']",10386.776504427515,572648.0,0.1264844448922678,10.386776504427514
L0045,"['S009', 'S012', 'S005', 'S027', 'S034', 'S016', 'S032']",10098.547367820218,667162.0,0.14724828180148336,10.098547367820217
L0046,"['S009', 'S012', 'S005', 'S031', 'S048', 'S039', 'S014']",9552.637440311528,579942.0,0.11351686768684725,9.552637440311528
L0047,"['S025', 'S031', 'S027', 'S034']",5341.89378184618,274285.0,0.014235844538256642,5.34189378184618
L0048,"['S009', 'S006', 'S011', 'S044']",5370.421798554253,334860.0,0.0174708023216011,5.370421798554252
L0049,"['S017', 'S039', 'S014', 'S042', 'S032']",8807.24937821523,485764.0,0.028310782143587225,8.807249378215229
L0050,"['S008', 'S014', 'S042', 'S032', 'S018', 'S021', 'S029']",11559.25498790347,605145.0,0.04556188473616651,11.55925498790347
L0051,"['S006', 'S011', 'S051', 'S026', 'S036']",7146.176342450291,134595.0,0.0020335378860126445,7.14617634245029
L0052,"['S025', 'S030', 'S004', 'S035']",4513.192739683156,168764.0,0.002006188823661852,4.513192739683156
L0053,"['S001', 'S039', 'S014', 'S042', 'S032']",8539.351596370598,434226.0,0.0266004995228844,8.539351596370599
L0054,"['S027', 'S005', 'S030', 'S033']",5800.518667941566,207504.0,0.0019009213237187847,5.8005186679415655
L0055,"['S020', 'S039', 'S048', 'S027', 'S034']",7944.900266436966,473034.0,0.026478962049797078,7.944900266436967
L0056,"['S003', 'S042', 'S014', 'S039', 'S017']",10654.920935388898,481833.0,0.0280146139109293,10.654920935388898
L0057,"['S008', 'S047', 'S016', 'S034', 'S007', 'S037']",11696.352800691186,432644.0,0.0069252031124588595,11.696352800691185
L0058,"['S029', 'S021', 'S018', 'S032']",5975.194207255541,252943.0,0.01131984209627103,5.975194207255541
L0059,"['S001', 'S010', 'S025', 'S030', 'S004', 'S035']",7638.505033026004,346824.0,0.014730731373159445,7.638505033026004
L0060,"['S009', 'S006', 'S011', 'S044', 'S019', 'S038']",8687.346676005198,393909.0,0.0213921606738363,8.687346676005196
L0061,"['S020', 'S039', 'S014', 'S042', 'S032']",9831.160831714384,472670.0,0.020468188860167668,9.831160831714385
L0062,"['S014', 'S047', 'S016', 'S034']",5232.82272707819,166608.0,0.0016794440101818055,5.232822727078189
L0063,"['S017', 'S010', 'S025', 'S030', 'S004', 'S035']",8718.522523301932,398362.0,0.010727939000724525,8.718522523301932
L0064,"['S003', 'S042', 'S014', 'S039', 'S020']",11678.832388888053,468739.0,0.020390397658780306,11.678832388888052
L0065,"['S001', 'S039', 'S014', 'S042', 'S032', 'S043', 'S002']",12272.349285671744,518711.0,0.03276510643797213,12.272349285671744
L0066,"['S001', 'S039', 'S014', 'S042', 'S003']",10387.023153544267,430295.0,0.026142564265955053,10.387023153544268
L0067,"['S001', 'S010', 'S025', 'S030', 'S004']",6191.125255284359,277843.0,0.010960058238965514,6.1911252552843585
L0068,"['S001', 'S031', 'S005', 'S012', 'S009', 'S006']",7749.883919812782,656969.0,0.13684577042550372,7.749883919812781
L0069,"['S001', 'S048', 'S027', 'S034', 'S007']",8051.564994485931,352562.0,0.018021217932516598,8.05156499448593
L0070,"['S001', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011']",9322.672683439068,656969.0,0.13684577042550372,9.322672683439068
L0071,"['S001', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011', 'S044', 'S013']",12652.470889495577,709173.0,0.14271245314616207,12.652470889495577
L0072,"['S001', 'S048', 'S027', 'S034', 'S007', 'S037', 'S052', 'S041', 'S015']",15693.683302433335,542659.0,0.02951781428953869,15.693683302433335
L0073,"['S001', 'S048', 'S027', 'S034', 'S016']",7431.440418405509,352562.0,0.018021217932516598,7.43144041840551
L0074,"['S001', 'S039', 'S014', 'S042', 'S032', 'S018']",10319.075296372643,434226.0,0.0266004995228844,10.319075296372644
L0075,"['S001', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011', 'S044', 'S019']",12411.988378192078,709173.0,0.14271245314616207,12.411988378192078
L0076,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S005', 'S030', 'S004']",14878.294104787754,343429.0,0.017620486399847132,14.878294104787754
L0077,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S005']",11457.056254768038,343429.0,0.017620486399847132,11.457056254768037
L0078,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S005', 'S012', 'S009', 'S006']",15735.221270707234,822338.0,0.1788249461488866,15.735221270707232
L0079,"['S002', 'S043', 'S032', 'S016', 'S034', 'S007']",10562.730282455028,245839.0,0.005966892264788668,10.562730282455028
L0080,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S005', 'S012', 'S009']",13831.545057121366,751647.0,0.1548462455433303,13.831545057121364
L0081,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S031', 'S010']",13538.328824514982,343429.0,0.017620486399847132,13.53832882451498
L0082,"['S002', 'S045', 'S018', 'S021', 'S037', 'S036', 'S026', 'S051', 'S011']",17294.205058755208,330820.0,0.013551587644860464,17.29420505875521
