LMAX (km),Heuristic,Length (km),Ridership,Ridership/Length,Stations,Time (s)
40.0,H1_greedy_extension,39.9,4098315137971.7,102674050.3211,11,0.0312
40.0,H2A_greedy_insertion,39.6,10363146548660.4,261398642.5229,20,0.3072
40.0,H2A_greedy_insertion+postopt,39.6,10363146548660.4,261398642.5229,20,0.0086
40.0,H2B_greedy_insertion,38.2,7516419457440.4,196588417.2651,26,0.4806
40.0,H2C_greedy_insertion,39.2,10785771243809.1,275388676.3893,22,0.3816
60.0,H1_greedy_extension,59.8,6224778774921.5,104028533.2318,18,0.051
60.0,H2A_greedy_insertion,59.9,13701613060094.5,228652261.9847,31,0.7907
60.0,H2A_greedy_insertion+postopt,59.9,13701613060094.5,228652261.9847,31,0.0238
60.0,H2B_greedy_insertion,59.9,9569082136484.3,159628288.079,36,1.036
60.0,H2C_greedy_insertion,59.6,13623712664568.2,228475459.2993,33,0.9296
80.0,H1_greedy_extension,79.3,7596574554293.0,95851903.097,23,0.0832
80.0,H2A_greedy_insertion,80.0,15195350593239.9,189961297.4924,43,1.4523
80.0,H2A_greedy_insertion+postopt,80.0,15195350593239.9,189961297.4924,43,0.0514
80.0,H2B_greedy_insertion,79.0,10948849240117.3,138649983.8143,45,1.5557
80.0,H2C_greedy_insertion,79.0,14692139633164.4,185942495.7208,45,1.5648
