n_stations,Algorithm,Runtime (s)
20,H1,0.02487118799763266
20,H2-A,0.0721900959906634
20,H2-C,0.07366128399735317
30,H1,0.03862179799762089
30,H2-A,0.2985511629958637
30,H2-C,0.311971603994607
40,H1,0.0786295819998486
40,H2-A,0.7721811549999984
40,H2-C,0.7341079600009834
50,H1,0.1382198859937489
50,H2-A,1.8182645500055514
50,H2-C,1.6421970639930805
60,H1,0.21474308999313507
60,H2-A,3.0885961249878164
60,H2-C,3.073133054000209
80,H1,0.47708249000424985
80,H2-A,9.496007680005278
80,H2-C,8.907579671998974
100,H1,0.8095646910078358
100,H2-A,21.160790672991425
100,H2-C,19.879800977010746
