from_station,to_station,length_km,conductance,flow
S001,S031,1.805,5.249998153,0.239998445
S003,S014,3.398,4.632658829,0.210950977
S005,S031,1.666,4.490010491,0.206031380
S008,S014,1.833,4.241543056,0.192227133
S002,S003,2.804,3.914975390,0.178223856
S001,S039,1.915,3.898110029,0.180915899
S004,S030,1.759,3.891179521,0.176844861
S005,S012,1.364,3.797454268,0.173534046
S009,S012,1.010,2.655424548,0.123618326
S006,S009,1.903,2.332544556,0.106762511
S008,S039,2.460,2.317011017,0.107566255
S016,S034,2.196,2.312843842,0.105169948
S025,S030,1.306,2.297494670,0.104365455
S004,S006,2.772,2.011816974,0.092642139
S007,S034,2.816,1.851088707,0.083908700
S002,S018,3.235,1.825409208,0.084181448
S021,S037,2.802,1.585338653,0.073266116
S007,S037,1.893,1.236389656,0.056973163
S018,S021,2.849,1.029354948,0.047124645
S010,S025,1.714,0.738599341,0.033123515
