origin_id,destination_id,origin_value,destination_value,distance_m,reward
S001,S002,634732.06,549635.75,10030.35,34781568.686256
S001,S003,634732.06,474926.85,8059.74,37402102.397514
S001,S004,634732.06,455777.26,5337.25,54203235.250958
S001,S005,634732.06,407749.16,3381.84,76529788.046020
S001,S006,634732.06,388392.48,7339.81,33587388.940780
S001,S007,634732.06,325443.30,7558.39,27329793.685987
S001,S008,634732.06,322506.00,4320.45,47380482.122086
S001,S009,634732.06,301965.00,5593.82,34264063.593678
S001,S010,634732.06,300000.00,1410.82,134971103.962593
S001,S011,634732.06,291757.76,8899.26,20809379.705182
S001,S012,634732.06,256253.00,4626.31,35158074.347710
S001,S013,634732.06,255969.52,12191.53,13326636.829292
S001,S014,634732.06,255460.18,4710.76,34420921.767200
S001,S015,634732.06,248397.61,13908.91,11335609.517426
S001,S016,634732.06,238774.51,5438.51,27867524.749284
S001,S017,634732.06,229598.00,1555.55,93685861.635527
S001,S018,634732.06,225003.45,8464.00,16873457.384015
S001,S019,634732.06,220000.00,11648.00,11988417.047317
S001,S020,634732.06,216504.00,3300.25,41639865.193984
S001,S021,634732.06,213704.16,10315.41,13149730.891608
S001,S022,634732.06,210696.11,10671.37,12532181.955990
S001,S023,634732.06,198527.22,7917.98,15914610.455983
S001,S024,634732.06,197250.99,2119.46,59072278.971218
S001,S025,634732.06,159783.00,2489.19,40743887.496284
S001,S026,634732.06,149164.40,10270.41,9218664.417540
S001,S027,634732.06,127590.00,3384.93,23925275.602964
S001,S028,634732.06,123739.00,11403.06,6887720.706195
S001,S029,634732.06,123552.00,11566.66,6780042.375262
S001,S030,634732.06,120000.00,3736.50,20384824.121040
S001,S031,634732.06,120000.00,1805.48,42187032.878771
S001,S032,634732.06,114442.00,7107.61,10220031.240735
S001,S033,634732.06,109914.00,4953.50,14084157.376777
S001,S034,634732.06,106912.00,4885.48,13890248.522497
S001,S035,634732.06,98981.00,6576.38,9553343.298432
S001,S036,634732.06,93904.00,8698.41,6852272.792450
S001,S037,634732.06,93226.00,9438.90,6269114.809501
S001,S038,634732.06,89049.00,12170.17,4644328.071676
S001,S039,634732.06,82028.00,1914.82,27191018.433166
S001,S040,634732.06,76596.00,8130.38,5979789.391669
S001,S041,634732.06,70363.00,12810.81,3486247.727764
S001,S042,634732.06,60000.00,5908.78,6445310.189741
S001,S043,634732.06,60000.00,7901.51,4819830.111788
S001,S044,634732.06,52204.00,10767.05,3077495.277947
S001,S045,634732.06,44256.00,9767.93,2875809.692515
S001,S046,634732.06,41735.00,10895.58,2431309.849868
S001,S047,634732.06,30000.00,4902.12,3884431.785978
S001,S048,634732.06,30000.00,1941.09,9809911.940288
S001,S049,634732.06,30000.00,14941.78,1274410.579463
S001,S050,634732.06,30000.00,12873.33,1479178.986894
S001,S051,634732.06,30000.00,10478.92,1817167.808194
S001,S052,634732.06,30000.00,10569.36,1801619.025655
S001,S053,634732.06,30000.00,12654.98,1504700.744708
S001,S054,634732.06,30000.00,11489.26,1657369.995001
S002,S003,549635.75,474926.85,2804.43,93080234.643458
S002,S004,549635.75,455777.26,12034.52,20816076.834760
S002,S005,549635.75,407749.16,8995.83,24913047.283002
S002,S006,549635.75,388392.48,11446.81,18649251.988476
S002,S007,549635.75,325443.30,7494.68,23866974.966272
S002,S008,549635.75,322506.00,7337.11,24159503.354930
S002,S009,549635.75,301965.00,10053.63,16508547.664975
S002,S010,549635.75,300000.00,11119.15,14829434.811196
S002,S011,549635.75,291757.76,12481.38,12847976.535106
S002,S012,549635.75,256253.00,9563.03,14728152.642178
S002,S013,549635.75,255969.52,14573.88,9653574.591766
S002,S014,549635.75,255460.18,5741.07,24457108.104283
S002,S015,549635.75,248397.61,11212.17,12176788.468434
S002,S016,549635.75,238774.51,5019.06,26148114.736320
S002,S017,549635.75,229598.00,10612.68,11890990.082939
S002,S018,549635.75,225003.45,3234.65,38232914.888847
S002,S019,549635.75,220000.00,13452.24,8988825.320976
S002,S020,549635.75,216504.00,11138.94,10683091.783993
S002,S021,549635.75,213704.16,5439.58,21593458.348172
S002,S022,549635.75,210696.11,14828.58,7809654.680591
S002,S023,549635.75,198527.22,13894.40,7853354.904081
S002,S024,549635.75,197250.99,9272.13,11692695.154061
S002,S025,549635.75,159783.00,10600.01,8285131.331766
S002,S026,549635.75,149164.40,10844.76,7559970.332457
S002,S027,549635.75,127590.00,7226.03,9704921.862134
S002,S028,549635.75,123739.00,10101.34,6732904.265924
S002,S029,549635.75,123552.00,6414.49,10586755.291075
S002,S030,549635.75,120000.00,10648.48,6193963.434245
S002,S031,549635.75,120000.00,8982.45,7342796.038437
S002,S032,549635.75,114442.00,3217.93,19547196.551298
S002,S033,549635.75,109914.00,12777.58,4728022.131357
S002,S034,549635.75,106912.00,6994.58,8401171.745688
S002,S035,549635.75,98981.00,12110.54,4492244.884107
S002,S036,549635.75,93904.00,9571.39,5392425.732564
S002,S037,549635.75,93226.00,7700.59,6654079.050962
S002,S038,549635.75,89049.00,12286.91,3983466.692571
S002,S039,549635.75,82028.00,8441.32,5341054.097978
S002,S040,549635.75,76596.00,12966.46,3246831.367463
S002,S041,549635.75,70363.00,9109.43,4245493.608787
S002,S042,549635.75,60000.00,4196.99,7857561.168166
S002,S043,549635.75,60000.00,2140.38,15407600.278861
S002,S044,549635.75,52204.00,13441.12,2134732.131065
S002,S045,549635.75,44256.00,2083.52,11674809.302928
S002,S046,549635.75,41735.00,16070.83,1427371.609219
S002,S047,549635.75,30000.00,5128.36,3215269.195058
S002,S048,549635.75,30000.00,8152.95,2022467.662583
S002,S049,549635.75,30000.00,12754.28,1292826.967860
S002,S050,549635.75,30000.00,8014.43,2057421.771040
S002,S051,549635.75,30000.00,12485.43,1320665.376764
S002,S052,549635.75,30000.00,7500.11,2198510.921203
S002,S053,549635.75,30000.00,11658.17,1414379.631368
S002,S054,549635.75,30000.00,1560.37,10567417.031970
S003,S004,474926.85,455777.26,11160.08,19395997.877495
S003,S005,474926.85,407749.16,7917.69,24458033.990606
S003,S006,474926.85,388392.48,11234.49,16418902.920133
S003,S007,474926.85,325443.30,7901.76,19560410.819264
S003,S008,474926.85,322506.00,4718.60,32460183.712647
S003,S009,474926.85,301965.00,9550.64,15015881.275019
S003,S010,474926.85,300000.00,9316.27,15293461.274073
S003,S011,474926.85,291757.76,12517.26,11069803.015721
S003,S012,474926.85,256253.00,8828.47,13785116.043588
S003,S013,474926.85,255969.52,15085.28,8058637.247360
S003,S014,474926.85,255460.18,3397.65,35708483.849054
S003,S015,474926.85,248397.61,12880.40,9158929.503584
S003,S016,474926.85,238774.51,4183.56,27106204.942869
S003,S017,474926.85,229598.00,8345.18,13066490.166894
S003,S018,474926.85,225003.45,4351.27,24558365.223408
S003,S019,474926.85,220000.00,14053.88,7434526.231458
S003,S020,474926.85,216504.00,8613.27,11937814.257544
S003,S021,474926.85,213704.16,7154.24,14186532.141081
S003,S022,474926.85,210696.11,14865.98,6731156.277080
S003,S023,474926.85,198527.22,13365.02,7054676.429239
S003,S024,474926.85,197250.99,6908.74,13559607.177685
S003,S025,474926.85,159783.00,9181.76,8264779.444167
S003,S026,474926.85,149164.40,11578.83,6118248.140510
S003,S027,474926.85,127590.00,5932.49,10214253.893249
S003,S028,474926.85,123739.00,11301.60,5199879.788445
S003,S029,474926.85,123552.00,8369.52,7010933.321445
S003,S030,474926.85,120000.00,9554.00,5965166.161655
S003,S031,474926.85,120000.00,7414.91,7686027.222224
S003,S032,474926.85,114442.00,3027.36,17953432.076617
S003,S033,474926.85,109914.00,11646.35,4482186.332064
S003,S034,474926.85,106912.00,6377.87,7961175.235412
S003,S035,474926.85,98981.00,11566.52,4064207.111418
S003,S036,474926.85,93904.00,10065.38,4430784.138382
S003,S037,474926.85,93226.00,8728.20,5072697.433591
S003,S038,474926.85,89049.00,13270.53,3186893.630852
S003,S039,474926.85,82028.00,6266.49,6216762.023234
S003,S040,474926.85,76596.00,12691.65,2866254.427445
S003,S041,474926.85,70363.00,10901.24,3065456.451054
S003,S042,474926.85,60000.00,3101.99,9186236.874712
S003,S043,474926.85,60000.00,1581.11,18022560.776335
S003,S044,474926.85,52204.00,13802.91,1796220.937035
S003,S045,474926.85,44256.00,4166.00,5045220.232176
