type,generation,best_fitness,mean_fitness,global_best,selected_stations,selected_edges,selected_required,line_count,closed_lines,length_km,pair_reward,turn_penalty,max_turn_deg,penalized_turns,objective_score,objective_reward,reward_per_km
final,180,3388980736.548296,,3388980736.548296,37,36,0,1,0,75.113,3563314041.388469,174333304.840172,113.862,14,3388980736.548296,3388980736.548296,45118534.858864
history,0,3048543365.656225,2093381523.233422,3048543365.656225,,,,,,,,,,,,,
history,10,3205541295.092556,3137663768.797725,3205541295.092556,,,,,,,,,,,,,
history,20,3310974070.183309,3202149060.002958,3310974070.183309,,,,,,,,,,,,,
history,30,3337757319.528541,3269060281.715835,3337757319.528541,,,,,,,,,,,,,
history,40,3337757319.528541,3283975516.557664,3337757319.528541,,,,,,,,,,,,,
history,50,3337757319.528541,3227782527.824883,3337757319.528541,,,,,,,,,,,,,
history,60,3337757319.528541,3263368162.624965,3337757319.528541,,,,,,,,,,,,,
history,70,3348675272.689157,3300593345.733179,3348675272.689157,,,,,,,,,,,,,
history,80,3348675272.689157,3271818572.390219,3348675272.689157,,,,,,,,,,,,,
history,90,3348675272.689157,3305400973.105394,3348675272.689157,,,,,,,,,,,,,
history,100,3373421187.590454,3295869885.745231,3373421187.590454,,,,,,,,,,,,,
history,110,3373421187.590454,3329633146.190860,3373421187.590454,,,,,,,,,,,,,
history,120,3373421187.590454,3266740395.649752,3373421187.590454,,,,,,,,,,,,,
history,130,3388980736.548296,3256050748.984767,3388980736.548296,,,,,,,,,,,,,
history,140,3388980736.548296,3333180615.553617,3388980736.548296,,,,,,,,,,,,,
history,150,3388980736.548296,3312109500.233403,3388980736.548296,,,,,,,,,,,,,
history,160,3388980736.548296,3347924244.219037,3388980736.548296,,,,,,,,,,,,,
history,170,3388980736.548296,3347022676.614826,3388980736.548296,,,,,,,,,,,,,
history,180,3388980736.548296,3308515566.468026,3388980736.548296,,,,,,,,,,,,,
