purpose,origin_id,destination_id,origin_lon,origin_lat,destination_lon,destination_lat,origin_pop,destination_jobs,destination_category,destination_name,distance_m,trips
home_to_work,O_00001,D_00149,118.60694444,24.91301740,118.63935618,24.93989925,1173.00,36219.49,education,华侨大学,4419.93,101.4963
home_to_work,O_00001,D_00204,118.60694444,24.91301740,118.62414069,24.88434542,1173.00,20180.72,education,黎明职业大学,3613.87,73.9833
home_to_work,O_00001,D_00301,118.60694444,24.91301740,118.57828777,24.94580309,1173.00,27053.76,education,,4637.11,70.5172
home_to_work,O_00001,D_00300,118.60694444,24.91301740,118.59383305,24.94227651,1173.00,15831.81,healthcare,910医院,3494.65,60.3929
home_to_work,O_00001,D_00321,118.60694444,24.91301740,118.57454498,24.91593636,1173.00,12593.06,commercial_office,源和1916创意产业园,3286.93,51.4822
home_to_work,O_00001,D_00108,118.60694444,24.91301740,118.66633520,24.87291497,1173.00,49778.48,education,泉州师范学院,7457.66,50.6749
home_to_work,O_00001,D_00662,118.60694444,24.91301740,118.67346315,24.87382905,1173.00,41918.35,commercial_office,,7992.61,35.7037
home_to_work,O_00001,D_00674,118.60694444,24.91301740,118.59354838,24.91596427,1173.00,4099.66,healthcare,泉州市第一医院,1391.15,31.5295
home_to_work,O_00001,D_00272,118.60694444,24.91301740,118.58039623,24.92136955,1173.00,5705.79,commercial_office,开元盛世广场,2834.81,27.1202
home_to_work,O_00001,D_00169,118.60694444,24.91301740,118.64526664,24.91003865,1173.00,7444.64,education,泉州第五中学（城东校区）,3883.10,24.9497
home_to_work,O_00002,D_00204,118.60945077,24.89859613,118.62414069,24.88434542,6201.00,20180.72,education,黎明职业大学,2163.77,641.8313
home_to_work,O_00002,D_00108,118.60945077,24.89859613,118.66633520,24.87291497,6201.00,49778.48,education,泉州师范学院,6407.57,384.7446
home_to_work,O_00002,D_00149,118.60945077,24.89859613,118.63935618,24.93989925,6201.00,36219.49,education,华侨大学,5473.60,382.1893
home_to_work,O_00002,D_00662,118.60945077,24.89859613,118.67346315,24.87382905,6201.00,41918.35,commercial_office,,7020.04,264.1619
