node_id,x,y,value,mandatory
V01,82.336,30.808,14.0,False
V02,27.503,24.789,82.0,False
V03,32.622,25.143,19.0,False
V04,61.601,39.744,78.0,False
V05,85.64,41.091,36.0,False
V06,26.012,49.329,81.0,False
V07,19.676,93.495,13.0,False
V08,54.773,63.651,26.0,False
V09,56.245,79.53,95.0,False
V10,38.493,40.205,32.0,False
V11,86.79,46.789,80.0,False
V12,13.835,19.646,76.0,False
V13,72.478,20.659,66.0,False
V14,62.887,57.001,97.0,False
V15,34.564,35.404,71.0,False
V16,68.62,24.376,17.0,False
K01,19.445,43.45,0.0,True
K02,70.571,22.159,0.0,True
K03,49.117,13.137,0.0,True
