source,target,cost,reason
K01,K03,42.418,mandatory_mst
K03,K02,23.274,mandatory_mst
K02,V13,2.425,greedy_value_per_cost
K02,V16,2.953,greedy_value_per_cost
V16,V04,16.896,greedy_value_per_cost
V04,V14,17.305,greedy_value_per_cost
K01,V06,8.815,greedy_value_per_cost
V06,V15,16.342,greedy_value_per_cost
V15,V10,6.204,greedy_value_per_cost
V15,V02,12.749,greedy_value_per_cost
V02,V03,5.131,greedy_value_per_cost
V02,V12,14.604,greedy_value_per_cost
V14,V08,10.491,greedy_value_per_cost
V08,V09,15.947,greedy_value_per_cost
V14,V11,25.992,greedy_value_per_cost
V11,V05,5.813,greedy_value_per_cost
